,img_ID,artist,height,width,whitespace,chiaroscuro,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10
1246,184957,kahlo,250,171,0.39766,0.07347,#FFFFFF,#7F3F00,#3F0000,#FFBF7F,#3F3F00,#BF7F3F,#003F00,#BFBFBF,#7F7FBF,#BF7F3F
1247,184931,kahlo,250,312,0.39872,0.11745,#BFBFFF,#3F3F3F,#7F7FBF,#BFBFBF,#BF7F3F,#3F3F3F,#FFFFFF,#3F0000,#7F7FFF,#3F0000
1248,184941,kahlo,250,288,0.39861,0.18636,#003F3F,#BFBFBF,#BF7F3F,#FFFFFF,#BFBFFF,#7F3F00,#FFBF7F,#7F7F3F,#3F3F00,#FFBFBF
1249,184967,kahlo,250,287,0.39861,0.06938,#BFBFFF,#3F3F3F,#7F7F7F,#FFFFFF,#3F003F,#7F7FBF,#000000,#7F7F3F,#7F3F00,#FF7F7F
1250,184942,kahlo,250,280,0.4,0.2737,#BFBF7F,#7F7F3F,#3F3F3F,#7F3F00,#7F7F7F,#FFFFFF,#000000,#BFBFBF,#BF7F3F,#3F3F00
1251,184964,kahlo,250,208,0.39808,0.05289,#3F3F00,#BF7F3F,#FFFFBF,#003F00,#7F7F7F,#7F7F3F,#7F3F3F,#BFBF7F,#FF7F3F,#BF3F00
1252,184977,kahlo,250,178,0.4,0.41014,#3F3F3F,#FFBFBF,#BF7F3F,#FFFFFF,#FFFFBF,#BFBFBF,#7F3F3F,#003F3F,#3F3F3F,#7F7F3F
1253,184919,kahlo,250,326,0.39877,0.22445,#FF3F00,#7F3F00,#FFBF7F,#7F7F7F,#BF3F00,#BF7F00,#000000,#BF7F3F,#BFBF7F,#BFBF00
1254,184983,kahlo,250,189,0.39788,0.02053,#FF7F00,#BFBFFF,#3F0000,#BF0000,#FF7F3F,#BFBFBF,#3F3F3F,#7F7F7F,#FFBFFF,#3F3F00
1255,184943,kahlo,250,287,0.39861,0.07381,#7F3F00,#FFFFFF,#BF7F3F,#000000,#FFBFBF,#FF3F00,#3F0000,#7F0000,#BF3F00,#FFBF7F
1256,184929,kahlo,250,169,0.39763,0.01388,#003F00,#FF7F3F,#7F7F7F,#003F00,#7F7F3F,#BFBF7F,#3F3F3F,#BF7F3F,#FFBF3F,#3F7F3F
1257,184937,kahlo,250,172,0.39767,0.52134,#BF7F3F,#3F003F,#BFBF7F,#7F3F00,#FFFFFF,#3F3F00,#7F3F3F,#BF7F7F,#3F7F3F,#FFBF7F
1258,184939,kahlo,250,154,0.3974,0.12634,#7F7F3F,#FFFFFF,#3F3F7F,#003F00,#7F7FBF,#003F3F,#3F3F00,#BFBFBF,#7F0000,#3F7FBF
1259,184944,kahlo,250,285,0.3986,0.05171,#BF7F3F,#3F3F00,#BFBFBF,#7F3F3F,#7F7F7F,#FFFFFF,#3F003F,#7F7F3F,#3F003F,#BFBF7F
1260,184950,kahlo,250,165,0.39758,0.03296,#FF7F3F,#000000,#3F3F00,#3F0000,#FFBF7F,#BF7F3F,#7F3F3F,#BF7F7F,#FF7F7F,#FF3F3F
1261,184970,kahlo,250,191,0.39791,1.26667,#3F0000,#FFFFBF,#BF7F3F,#7F3F00,#FFFFFF,#FFBF7F,#7F3F3F,#BFBF3F,#FF7F3F,#FFBF3F
1262,185004,kahlo,250,164,0.39756,0.06794,#BF7F00,#3F3F3F,#FFBF7F,#7F7F3F,#003F00,#7F3F00,#FFBF00,#FFFFFF,#3F0000,#3F3F3F
1263,184925,kahlo,250,397,0.39899,0.04074,#BFBFBF,#3F3F3F,#7F7F3F,#3F3F00,#FFFFFF,#3F3F3F,#BFBF7F,#7F3F00,#7F7F7F,#BFBFFF
1264,184928,kahlo,250,366,0.39891,0.07899,#7F7F3F,#FFFFFF,#3F0000,#BFBF7F,#7F3F00,#BF7F3F,#BFBFBF,#3F3F00,#00003F,#7F7F7F
1265,184930,kahlo,250,184,0.39783,0.02621,#BFBF7F,#3F0000,#3F7F7F,#BF3F00,#7F7F7F,#BFBFBF,#7F3F00,#FFFFFF,#000000,#7F7F3F
1266,184932,kahlo,250,178,0.39775,0.09905,#BFBFBF,#3F3F00,#7F7F7F,#FFFFFF,#3F0000,#7F7F3F,#003F00,#BFBFFF,#FFBFFF,#BFBF7F
